FECHA_CREACION;CARRERA;NIVEL_1;NIVEL_2;NIVEL_3;NIVEL_4
24-07-2023 15:42;INGENIERÍA EN COMERCIO EXTERIOR;Financiamiento;Pagos y Deudas;Firma electrónica consentimiento deuda;Resuelto
24-07-2023 15:42;GASTRONOMÍA INTERNACIONAL;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
24-07-2023 15:42;GASTRONOMÍA INTERNACIONAL;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
24-07-2023 15:37;INGENIERÍA EN MARKETING DIGITAL;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 15:33;TÉCNICO EN GESTIÓN DE PERSONAS;Académico;Información o convalidación;Prácticas;Resuelto
24-07-2023 15:27;INGENIERÍA EN COMERCIO EXTERIOR;Académico;Admisión especial interna ;Cambio de jornada;Resuelto
24-07-2023 15:25;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN MARKETING;Inscripción de asign;Información del proceso;Uso plataforma IA;Resuelto
24-07-2023 15:22;TEC. ANAL. CONTRL. AMBIENTAL;Tecnología;Plataformas Titulados;Correo institucional;Derivación G-Desk
24-07-2023 15:21;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN MARKETING;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 15:15;INGENIERÍA EN INFORMÁTICA;Académico;Admisión especial interna ;Cambio de carrera;Resuelto
24-07-2023 15:10;GASTRONOMÍA INTERNACIONAL;Inscripción de asign;Información del proceso;Ventana de inscripción;Resuelto
24-07-2023 15:07;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN MARKETING;Vida estudiantil;Asuntos Estudiantiles;TNE;Resuelto
24-07-2023 15:05;INGENIERÍA EN MECÁNICA AUTOMOTRIZ Y AUTOTRÓNICA;Tecnología;Plataformas Docentes;Registro de Asistencia y Gestión de Clases (RAGC);Derivación G-Desk
24-07-2023 14:59;TURISMO Y HOTELERÍA;Fuera de alcance;Fuera de alcance;Fuera de alcance;Resuelto
24-07-2023 14:57;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN GESTIÓN DE PERSONAS;Inscripción de asign;Información del proceso;Uso plataforma IA;Resuelto
24-07-2023 14:44;AUDITORÍA;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 14:41;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN FINANZAS;Inscripción de asign;Información del proceso;Ventana de inscripción;Resuelto
24-07-2023 14:32;INGENIERÍA EN GESTIÓN LOGÍSTICA;Fuera de alcance;Fuera de alcance;Fuera de alcance;Resuelto
24-07-2023 14:31;AUDITORÍA - Vespertino;Académico;Gestión académica;Calificaciones;Resuelto
24-07-2023 14:30;TURISMO Y HOTELERÍA;Académico;Actualización de datos;Firma electrónica de contrato alumno continuidad;Resuelto
24-07-2023 14:21;INGENIERÍA EN INFORMÁTICA;Información general;Información general;Información sede;Resuelto
24-07-2023 14:19;AUDITORÍA - Vespertino;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
24-07-2023 14:17;INGENIERÍA EN CONECTIVIDAD Y REDES;Financiamiento;Gratuidad;Estado del beneficio;Resuelto
24-07-2023 14:11;GASTRONOMÍA INTERNACIONAL;Tecnología;Gestión de cuentas;Cuenta alumno continuidad;Resuelto
24-07-2023 14:10;INGENIERÍA EN COMERCIO EXTERIOR;Inscripción de asign;Información del proceso;Uso plataforma IA;Resuelto
24-07-2023 14:04;INGENIERÍA EN MECÁNICA AUTOMOTRIZ Y AUTOTRÓNICA;Financiamiento;Pagos y Deudas;Firma electrónica consentimiento deuda;Resuelto
24-07-2023 13:49;ECOTURISMO;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 13:48;GASTRONOMÍA INTERNACIONAL;Académico;Información o convalidación;Asignaturas;Resuelto
24-07-2023 13:43;INGENIERÍA EN INFORMÁTICA;Inscripción de asign;Información del proceso;Ventana de inscripción;Resuelto
24-07-2023 13:36;GASTRONOMÍA INTERNACIONAL;Inscripción de asign;Información del proceso;Ventana de inscripción;Resuelto
24-07-2023 13:33;TURISMO Y HOTELERÍA;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 13:29;INGENIERÍA EN GESTIÓN LOGÍSTICA;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 13:28;ECOTURISMO;Financiamiento;Pagos y Deudas;Cta. Cte. Alumno regular sin deuda aparente;Resuelto
24-07-2023 13:27;ECOTURISMO;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
24-07-2023 13:20;TURISMO Y HOTELERÍA;Financiamiento;Pagos y Deudas;Firma electrónica consentimiento deuda;Resuelto
24-07-2023 13:20;INGENIERÍA EN COMERCIO EXTERIOR;Financiamiento;Becas;Sin descuento por beneficio;Resuelto
24-07-2023 13:17;INGENIERÍA EN COMERCIO EXTERIOR;Financiamiento;Crédito con Ava del Estado (CAE);Condiciones del CAE;Resuelto
24-07-2023 13:14;INGENIERÍA EN MARKETING DIGITAL;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 13:13;GASTRONOMÍA INTERNACIONAL;Tecnología;Plataformas Alumnos;Firma Electrónica Contrato Continuidad;Resuelto
24-07-2023 13:09;GASTRONOMÍA INTERNACIONAL;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 13:04;GASTRONOMÍA INTERNACIONAL;Académico;Admisión especial interna ;Reincorporación a la carrera;Resuelto
24-07-2023 13:01;INGENIERÍA EN INFORMÁTICA;Académico;Información o convalidación;Asignaturas;Resuelto
24-07-2023 12:52;INGENIERÍA EN CONECTIVIDAD Y REDES;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 12:43;TOURISM AND HOSPITALITY;Académico;Admisión especial interna ;Reincorporación a la carrera;Resuelto
24-07-2023 12:42;INGENIERÍA EN COMERCIO EXTERIOR;Académico;Contacto coordinador de carrera;Programa de estudios;Resuelto
24-07-2023 12:41;GASTRONOMÍA INTERNACIONAL;Académico;Admisión especial interna ;Reincorporación a la carrera;Resuelto
24-07-2023 12:32;ECOTURISMO;Académico;Admisión especial interna ;Reincorporación a la carrera;Resuelto
24-07-2023 12:30;GASTRONOMÍA INTERNACIONAL;Fuera de alcance;Fuera de alcance;Fuera de alcance;Resuelto
24-07-2023 12:25;INGENIERÍA EN INFORMÁTICA;Información general;Información general;Servicios y otros;Resuelto
24-07-2023 12:22;TURISMO Y HOTELERÍA;Titulado;Información y gestión;Cuenta titulado;Resuelto
